i,elastic,inertia,body,contact,friction,damping,augmented_lagrangian_lagr,augmented_lagrangian_penalty,strain_augmented_lagrangian_lagr,strain_augmented_lagrangian_penalty,periodic_contact,total_energy
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,60.1476,-120.295,0,0,0,0,0,0,0,0,-60.1476
2,0,60.1476,-360.885,0,0,0,0,0,0,0,0,-300.738
3,0,60.1476,-721.771,0,0,0,0,0,0,0,0,-661.623
4,0,60.1476,-1202.95,0,0,0,0,0,0,0,0,-1142.8
5,0,60.1476,-1804.43,0,0,0,0,0,0,0,0,-1744.28
6,0,60.1476,-2526.2,0,0,0,0,0,0,0,0,-2466.05
7,2.20106e-27,60.1476,-3368.26,0,0,0,0,0,0,0,0,-3308.12
8,2.64339e-12,60.1476,-4330.62,0,0,0,0,0,0,0,0,-4270.48
9,6.60847e-13,60.1476,-5413.28,0,0,0,0,0,0,0,0,-5353.13
10,3.66844e-27,60.1476,-6616.23,0,0,0,0,0,0,0,0,-6556.08
11,2.64339e-12,60.1476,-7939.48,0,0,0,0,0,0,0,0,-7879.33
12,6.60847e-13,60.1476,-9383.02,0,0,0,0,0,0,0,0,-9322.87
13,150.645,1183.17,-10610.5,2.27179,28.9411,0,0,0,0,0,0,-9245.48
14,631.952,310.704,-11731.3,0.982866,38.4685,0,0,0,0,0,0,-10749.2
15,1119.95,150.678,-12830.9,0.565002,29.1367,0,0,0,0,0,0,-11530.6
16,1485.62,153.537,-13909.4,0.56986,27.4467,0,0,0,0,0,0,-12242.2
17,1631.2,158.158,-14973.8,0.530674,18.5951,0,0,0,0,0,0,-13165.4
18,1523.98,137.446,-16033.9,0.476026,10.206,0,0,0,0,0,0,-14361.8
19,1237.45,99.3455,-17101.8,0.410303,9.10282,0,0,0,0,0,0,-15755.5
20,892.337,64.7747,-18191.9,0.335846,10.4983,0,0,0,0,0,0,-17224
21,586.357,44.2025,-19320.4,0.260819,11.2743,0,0,0,0,0,0,-18678.3
22,423.253,155.475,-20490.1,0.543422,14.8139,0,0,0,0,0,0,-19896
23,1242.65,2948.45,-21638.3,3.06776,46.419,0,0,0,0,0,0,-17397.7
24,2797.18,578.1,-22715.4,2.22622,31.8373,0,0,0,0,0,0,-19306.1
25,4696.31,255.53,-23684.7,2.57101,56.2477,0,0,0,0,0,0,-18674
26,6785.25,251.644,-24511,3.04832,72.9564,0,0,0,0,0,0,-17398.1
27,8694.45,311.6,-25159,3.52701,87.0345,0,0,0,0,0,0,-16062.4
28,10054.8,355.318,-25599.4,3.95336,100.102,0,0,0,0,0,0,-15085.2
29,10662.7,367.24,-25814.7,4.19907,93.5128,0,0,0,0,0,0,-14687.1
30,10473.5,348.751,-25804.1,4.15836,65.0755,0,0,0,0,0,0,-14912.6
31,9580.5,295.405,-25584,3.81296,28.8716,0,0,0,0,0,0,-15675.4
32,8191.26,212.301,-25186.6,3.22559,12.8956,0,0,0,0,0,0,-16767
33,6557.2,135.802,-24651.6,2.55583,20.1651,0,0,0,0,0,0,-17935.9
34,4907.73,79.4216,-24017.6,1.94758,31.3287,0,0,0,0,0,0,-18997.1
35,3412.85,40.7739,-23319,1.44258,39.4302,0,0,0,0,0,0,-19824.5
36,2181.04,18.9127,-22587.5,1.03109,40.7693,0,0,0,0,0,0,-20345.8
37,1260.12,12.0963,-21852.7,0.693269,36.3076,0,0,0,0,0,0,-20543.4
38,645.9,16.465,-21142.3,0.441147,28.4678,0,0,0,0,0,0,-20451.1
39,297.116,28.2058,-20482.2,0.253043,20.3117,0,0,0,0,0,0,-20136.3
40,146.163,45.0038,-19893.4,0.133696,13.0692,0,0,0,0,0,0,-19689
41,110.165,62.4213,-19391.8,0.0677833,7.34223,0,0,0,0,0,0,-19211.8
42,114.896,74.1732,-18987.7,0.0364623,3.40711,0,0,0,0,0,0,-18795.2
43,112.918,77.6841,-18686.5,0.0259594,1.4728,0,0,0,0,0,0,-18494.4
44,89.5484,73.1478,-18488.6,0.0302274,0.610565,0,0,0,0,0,0,-18325.3
45,55.1705,63.8398,-18390.7,0.0445935,0.143707,0,0,0,0,0,0,-18271.5
46,30.2438,53.263,-18385.8,0.0689494,0.473441,0,0,0,0,0,0,-18301.7
47,31.8335,45.0843,-18464.4,0.101648,1.44213,0,0,0,0,0,0,-18385.9
48,66.8545,40.0958,-18616,0.134802,2.79717,0,0,0,0,0,0,-18506.1
49,130.667,38.3056,-18830.2,0.166174,4.15996,0,0,0,0,0,0,-18656.9
50,209.777,38.876,-19097.5,0.20016,5.03062,0,0,0,0,0,0,-18843.7
51,287.518,39.8983,-19410.7,0.227473,5.68107,0,0,0,0,0,0,-19077.4
52,348.133,41.2545,-19764.9,0.244911,6.11622,0,0,0,0,0,0,-19369.2
53,380.969,41.6145,-20158,0.251118,6.20564,0,0,0,0,0,0,-19729
54,451.04,85.7198,-20579.9,0.659916,11.3066,0,0,0,0,0,0,-20031.2
55,623.501,61.9474,-21015.1,0.848621,15.5027,0,0,0,0,0,0,-20313.3
56,896.152,109.165,-21446.3,1.08384,18.2013,0,0,0,0,0,0,-20421.7
57,1265.64,84.1853,-21857.4,1.10986,14.3723,0,0,0,0,0,0,-20492.1
58,1695.84,18.2411,-22236.7,1.09601,9.78216,0,0,0,0,0,0,-20511.8
59,2147.8,20.6511,-22574.5,1.21867,12.7405,0,0,0,0,0,0,-20392
60,2571.06,28.6695,-22861.1,1.34402,15.6606,0,0,0,0,0,0,-20244.4
61,2917.17,35.2987,-23087.7,1.46309,17.6967,0,0,0,0,0,0,-20116.1
62,3151.76,38.8445,-23247,1.55467,18.247,0,0,0,0,0,0,-20036.6
