step,time,forward,remeshing,global_relaxation,peak_mem,#V,#T
1,0.025,0.1106731666666667,0,0,0.0152435302734375,137,12
2,0.05,0.11084425000000002,0,0,0.0157318115234375,137,12
3,0.07500000000000001,0.11576191666666669,0,0,0.015869140625,137,12
4,0.1,0.11065908333333335,0,0,0.0159149169921875,137,12
5,0.125,0.10991858333333336,0,0,0.0159454345703125,137,12
6,0.15000000000000002,0.10972870833333336,0,0,0.016021728515625,137,12
7,0.17500000000000002,0.10958900000000002,0,0,0.016021728515625,137,12
8,0.2,0.11086983333333336,0,0,0.0160675048828125,137,12
9,0.225,0.11232595833333336,0,0,0.0161285400390625,137,12
10,0.25,0.11073533333333335,0,0,0.0161285400390625,137,12
11,0.275,0.11210533333333336,0,0,0.0161285400390625,137,12
12,0.30000000000000004,0.11305287500000002,0,0,0.0161285400390625,137,12
13,0.325,0.9160056250000002,0,0,1.4381103515625,137,12
14,0.35000000000000003,0.12507283333333336,0,0,1.43817138671875,137,12
15,0.375,0.12708245833333337,0,0,1.438201904296875,137,12
16,0.4,0.13047025000000004,0,0,1.438323974609375,137,12
17,0.42500000000000004,0.12122075000000003,0,0,1.43841552734375,137,12
18,0.45,0.1209885416666667,0,0,1.43841552734375,137,12
19,0.47500000000000003,0.12749187500000003,0,0,1.4384613037109375,137,12
20,0.5,0.12121583333333336,0,0,1.4384613037109375,137,12
21,0.525,0.11868766666666669,0,0,1.4384613037109375,137,12
22,0.55,0.3767321250000001,0,0,1.4385223388671875,137,12
23,0.5750000000000001,0.3657793333333334,0,0,1.4386749267578125,137,12
24,0.6000000000000001,0.13204741666666672,0,0,1.438690185546875,137,12
25,0.625,0.13536033333333336,0,0,1.438690185546875,137,12
26,0.65,0.13201937500000002,0,0,1.4387359619140625,137,12
27,0.675,0.1299169166666667,0,0,1.4387359619140625,137,12
28,0.7000000000000001,0.12693283333333336,0,0,1.4387359619140625,137,12
29,0.7250000000000001,0.13042312500000003,0,0,1.4387359619140625,137,12
30,0.75,0.12989562500000004,0,0,1.43878173828125,137,12
31,0.775,0.12835920833333336,0,0,1.43878173828125,137,12
32,0.8,0.1363850416666667,0,0,1.4387969970703125,137,12
33,0.8250000000000001,0.1423919166666667,0,0,1.438873291015625,137,12
34,0.8500000000000001,0.1271691666666667,0,0,1.43890380859375,137,12
35,0.875,0.12650045833333337,0,0,1.43890380859375,137,12
36,0.9,0.1325380416666667,0,0,1.4389495849609375,137,12
37,0.925,0.1322819166666667,0,0,1.4389801025390625,137,12
38,0.9500000000000001,0.1223870416666667,0,0,1.4389801025390625,137,12
39,0.9750000000000001,0.12746383333333336,0,0,1.4389801025390625,137,12
40,1,0.1222100416666667,0,0,1.4389801025390625,137,12
41,1.0250000000000001,0.12204937500000003,0,0,1.4389801025390625,137,12
42,1.05,0.11932637500000003,0,0,1.4389801025390625,137,12
43,1.075,0.12345204166666669,0,0,1.4389801025390625,137,12
44,1.1,0.12002383333333336,0,0,1.4389801025390625,137,12
45,1.125,0.12343970833333336,0,0,1.4389801025390625,137,12
46,1.1500000000000001,0.12178283333333335,0,0,1.4389801025390625,137,12
47,1.175,0.11675141666666669,0,0,1.4389801025390625,137,12
48,1.2000000000000002,0.1177376666666667,0,0,1.4389801025390625,137,12
49,1.225,0.11843245833333337,0,0,1.43902587890625,137,12
50,1.25,0.1181839166666667,0,0,1.43902587890625,137,12
51,1.2750000000000001,0.12030000000000003,0,0,1.43902587890625,137,12
52,1.3,0.1165556666666667,0,0,1.43902587890625,137,12
53,1.3250000000000002,0.11986908333333336,0,0,1.43902587890625,137,12
54,1.35,0.14803858333333336,0,0,1.43902587890625,137,12
55,1.375,0.1403030416666667,0,0,1.43902587890625,137,12
56,1.4000000000000001,0.20132845833333338,0,0,1.44244384765625,137,12
57,1.425,0.1195266666666667,0,0,1.44244384765625,137,12
58,1.4500000000000002,0.1234121666666667,0,0,1.44244384765625,137,12
59,1.475,0.1219639166666667,0,0,1.44244384765625,137,12
60,1.5,0.12478275000000003,0,0,1.44244384765625,137,12
61,1.5250000000000001,0.14534395833333336,0,0,1.44244384765625,137,12
