i,elastic,inertia,body,contact,friction,damping,augmented_lagrangian_lagr,augmented_lagrangian_penalty,strain_augmented_lagrangian_lagr,strain_augmented_lagrangian_penalty,periodic_contact,total_energy
0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.56845e-15,552.49,-1104.98,0,0,0,0,0,0,0,0,-552.49
2,1.42403e-12,552.49,-3314.94,0,0,0,0,0,0,0,0,-2762.45
3,5.49492e-12,552.49,-6629.88,0,0,0,0,0,0,0,0,-6077.39
4,1.11168e-11,552.49,-11049.8,0,0,0,0,0,0,0,0,-10497.3
5,1.45823e-11,552.49,-16574.7,0,0,0,0,0,0,0,0,-16022.2
6,1.87392e-11,552.49,-23204.6,0,0,0,0,0,0,0,0,-22652.1
7,1.90445e-11,552.49,-30939.4,0,0,0,0,0,0,0,0,-30386.9
8,2.20814e-11,552.49,-39779.3,0,0,0,0,0,0,0,0,-39226.8
9,1.84483e-11,552.49,-49724.1,0,0,0,0,0,0,0,0,-49171.6
10,1.86937e-11,552.49,-60773.9,0,0,0,0,0,0,0,0,-60221.4
11,1.74593e-11,552.49,-72928.7,0,0,0,0,0,0,0,0,-72376.2
12,1.60304e-11,552.49,-86188.4,0,0,0,0,0,0,0,0,-85635.9
13,1.09991e-11,552.49,-100553,0,0,0,0,0,0,0,0,-100001
14,1.30821e-11,552.49,-116023,0,0,0,0,0,0,0,0,-115470
15,58.0927,545.462,-132573,0.0551155,0,0,0,0,0,0,0,-131969
16,783.374,660.556,-150109,0.455263,0,0,0,0,0,0,0,-148665
17,2498.29,681.551,-168519,0.996925,0,0,0,0,0,0,0,-165338
18,5951.18,869.021,-187566,2.19826,0,0,0,0,0,0,0,-180744
19,12565.6,1320.49,-206869,4.42526,0,0,0,0,0,0,0,-192978
20,23075.3,1762.4,-226003,6.9319,0,0,0,0,0,0,0,-201158
21,37172.3,1989.5,-244603,9.37906,0,0,0,0,0,0,0,-205432
22,54055.6,2419.87,-262304,11.84,0,0,0,0,0,0,0,-205817
23,72970.1,2774.48,-278765,13.9151,0,0,0,0,0,0,0,-203007
24,93095.2,2857.97,-293771,15.1756,0,0,0,0,0,0,0,-197803
25,113292,2866.21,-307199,15.908,0,0,0,0,0,0,0,-191024
26,132557,2885.55,-318990,16.1572,0,0,0,0,0,0,0,-183531
27,149834,2914.9,-329141,16.0967,0,0,0,0,0,0,0,-176377
28,163997,2792.89,-337713,15.7483,0,0,0,0,0,0,0,-170908
29,175079,2441.69,-344823,15.1968,0,0,0,0,0,0,0,-167287
30,186399,3402.04,-350625,15.9665,0,0,0,0,0,0,0,-160808
31,200880,4962.87,-355219,17.999,0,0,0,0,0,0,0,-149358
32,215475,5105,-358593,18.5867,0,0,0,0,0,0,0,-137995
33,225777,4938.82,-360647,19.3311,0,0,0,0,0,0,0,-129912
34,229326,4555.72,-361241,19.5882,0,0,0,0,0,0,0,-127340
35,225920,3955.93,-360300,19.1806,0,0,0,0,0,0,0,-130405
36,216704,3205.75,-357880,17.8276,0,0,0,0,0,0,0,-137953
37,203541,2476.95,-354132,15.7716,0,0,0,0,0,0,0,-148098
38,188139,1902.42,-349261,13.6114,0,0,0,0,0,0,0,-159206
39,171775,1462.88,-343491,11.4982,0,0,0,0,0,0,0,-170242
40,155385,1120.35,-337014,9.81578,0,0,0,0,0,0,0,-180498
41,139597,881.7,-329995,8.5627,0,0,0,0,0,0,0,-189507
42,124766,705.576,-322562,7.67041,0,0,0,0,0,0,0,-197083
43,110944,629.663,-314808,7.05532,0,0,0,0,0,0,0,-203227
44,98053.7,570.468,-306802,6.57337,0,0,0,0,0,0,0,-208172
45,86071.8,531.916,-298601,6.19615,0,0,0,0,0,0,0,-211991
46,75010.1,502.221,-290255,5.9065,0,0,0,0,0,0,0,-214736
47,64940.3,483.493,-281811,5.65174,0,0,0,0,0,0,0,-216382
48,55949.1,476.834,-273331,5.43077,0,0,0,0,0,0,0,-216899
49,48061.4,495.867,-264868,5.23797,0,0,0,0,0,0,0,-216306
50,41114.6,541.423,-256480,4.99307,0,0,0,0,0,0,0,-214819
51,34934.2,575.191,-248241,4.67924,0,0,0,0,0,0,0,-212727
52,29360.7,586.634,-240225,4.24967,0,0,0,0,0,0,0,-210273
