step,time,forward,remeshing,global_relaxation,peak_mem,#V,#T
1,0.025,0.17683375000000004,0,0,0.112060546875,989,3383
2,0.05,0.16092408333333336,0,0,0.1226806640625,989,3383
3,0.07500000000000001,0.15073783333333338,0,0,0.12982177734375,989,3383
4,0.1,0.15509012500000002,0,0,0.1307220458984375,989,3383
5,0.125,0.1497217916666667,0,0,0.135284423828125,989,3383
6,0.15000000000000002,0.1738719166666667,0,0,0.1360321044921875,989,3383
7,0.17500000000000002,0.14840833333333336,0,0,0.13702392578125,989,3383
8,0.2,0.1436090416666667,0,0,0.137237548828125,989,3383
9,0.225,0.14023112500000004,0,0,0.1393280029296875,989,3383
10,0.25,0.15357050000000003,0,0,0.1393280029296875,989,3383
11,0.275,0.13885112500000002,0,0,0.1414794921875,989,3383
12,0.30000000000000004,0.147790625,0,0,0.1415557861328125,989,3383
13,0.325,0.14304908333333335,0,0,0.1416778564453125,989,3383
14,0.35000000000000003,0.1429371666666667,0,0,0.1441497802734375,989,3383
15,0.375,2.258376791666667,0,0,1.1420440673828125,989,3383
16,0.4,1.461418166666667,0,0,1.148529052734375,989,3383
17,0.42500000000000004,2.3798513333333338,0,0,1.1580810546875,989,3383
18,0.45,5.2905932500000015,0,0,1.4925537109375,989,3383
19,0.47500000000000003,7.782240083333335,0,0,1.8663177490234375,989,3383
20,0.5,4.940980416666668,0,0,1.891845703125,989,3383
21,0.525,4.3427754583333344,0,0,1.92047119140625,989,3383
22,0.55,5.083607250000001,0,0,1.920654296875,989,3383
23,0.5750000000000001,5.614331833333335,0,0,1.9207611083984375,989,3383
24,0.6000000000000001,3.2489555416666676,0,0,1.920867919921875,989,3383
25,0.625,1.9963356250000004,0,0,1.9209747314453125,989,3383
26,0.65,2.025280083333334,0,0,1.9209747314453125,989,3383
27,0.675,1.116168166666667,0,0,1.9209747314453125,989,3383
28,0.7000000000000001,1.1507294583333336,0,0,1.9209747314453125,989,3383
29,0.7250000000000001,1.783295166666667,0,0,1.9210205078125,989,3383
30,0.75,2.354312791666667,0,0,1.9211273193359375,989,3383
31,0.775,2.726724291666667,0,0,1.92138671875,989,3383
32,0.8,1.924029041666667,0,0,1.9214630126953125,989,3383
33,0.8250000000000001,1.678490916666667,0,0,1.921478271484375,989,3383
34,0.8500000000000001,1.6010310833333337,0,0,1.9214935302734375,989,3383
35,0.875,1.2080222083333336,0,0,1.921630859375,989,3383
36,0.9,1.3037210833333337,0,0,1.921630859375,989,3383
37,0.925,0.9456091250000002,0,0,1.9216461181640625,989,3383
38,0.9500000000000001,0.4970952500000001,0,0,1.9216461181640625,989,3383
39,0.9750000000000001,0.5991828333333334,0,0,1.9216461181640625,989,3383
40,1,0.6817639583333335,0,0,1.9216461181640625,989,3383
41,1.0250000000000001,0.6062170833333335,0,0,1.9216461181640625,989,3383
42,1.05,0.4785227500000001,0,0,1.921661376953125,989,3383
43,1.075,0.5853496250000001,0,0,1.921661376953125,989,3383
44,1.1,0.5842175416666668,0,0,1.921661376953125,989,3383
45,1.125,0.5887753750000001,0,0,1.92169189453125,989,3383
46,1.1500000000000001,0.8725141250000001,0,0,1.9217376708984375,989,3383
47,1.175,0.8477243750000002,0,0,1.9217529296875,989,3383
48,1.2000000000000002,0.6465703333333335,0,0,1.9217529296875,989,3383
49,1.225,0.9394967500000002,0,0,1.92181396484375,989,3383
50,1.25,0.9606098750000002,0,0,1.9218292236328125,989,3383
51,1.2750000000000001,0.5924403750000001,0,0,1.9218292236328125,989,3383
52,1.3,0.7090202500000001,0,0,1.9218292236328125,989,3383
53,1.3250000000000002,0.6010739583333334,0,0,1.9218292236328125,989,3383
54,1.35,0.2608295416666667,0,0,1.9218292236328125,989,3383
55,1.375,0.23681237500000005,0,0,1.9218292236328125,989,3383
56,1.4000000000000001,0.2546130416666667,0,0,1.9218292236328125,989,3383
57,1.425,0.5417270833333334,0,0,1.9218292236328125,989,3383
58,1.4500000000000002,0.21619266666666673,0,0,1.9218292236328125,989,3383
59,1.475,0.2304829166666667,0,0,1.9218292236328125,989,3383
60,1.5,0.2206689583333334,0,0,1.9218292236328125,989,3383
61,1.5250000000000001,0.20437512500000005,0,0,1.9218292236328125,989,3383
62,1.55,0.5619734583333335,0,0,1.9218292236328125,989,3383
63,1.5750000000000002,0.19397558333333337,0,0,1.9218292236328125,989,3383
64,1.6,0.23299104166666673,0,0,1.9218292236328125,989,3383
65,1.625,0.49355808333333345,0,0,1.9218292236328125,989,3383
66,1.6500000000000001,0.17125762500000002,0,0,1.9218292236328125,989,3383
67,1.675,0.18878125000000004,0,0,1.9218292236328125,989,3383
68,1.7000000000000002,0.20998445833333337,0,0,1.9218292236328125,989,3383
